broadcast_s,h2d_transfer_s,kernel_execution_s,d2h_transfer_s,reduce_op_s,total_buffer_size_bytes
0.261371,0.0990873,0.00403795,0.0936508,3.92158,1073741824
0.261187,0.0990247,0.00403617,0.0936715,3.94102,1073741824
0.261239,0.0990164,0.00401743,0.0936506,3.9458,1073741824
0.260952,0.0990037,0.00402271,0.0936604,3.94058,1073741824
0.260844,0.0990133,0.00401936,0.093675,3.93548,1073741824
0.260821,0.0990225,0.00400558,0.0952065,3.93292,1073741824
0.261181,0.0990504,0.00401687,0.0936587,3.93121,1073741824
0.261212,0.0990226,0.00402356,0.0936586,3.93623,1073741824
0.261274,0.0990434,0.00401721,0.0936742,3.92808,1073741824
0.260754,0.0990427,0.00401582,0.0936512,3.94442,1073741824
